id,name,301_redirect,permalink,entityType,givenName,familyName,sortName,alternateName,gender,birthDate,birthPlace,deathDate,deathPlace,webpage,relatedWebpage,sameAs,image
2184,Wedgwood and Bentley,,,Organization,,,Wedgwood and Bentley,"",Unknown,1769-01-01,,1780-01-01,,,,,
1002294,Françoise Gilot,,,Person,,,"Gilot, Françoise","",Female,1921-01-01,,,,,,http://vocab.getty.edu/ulan/500011104,
805,"unknown American, Ipswich or Newbury",,,Person,,,"unknown American, Ipswich or Newbury","",Unknown,,,,,,,"",
1006973,unknown Persian (Gorgan),,,Person,,,unknown Persian (Gorgan),"Persian, Gorgan",Unknown,,,,,,,"",
9974,Melvin Edwards,,,Person,,,"Edwards, Melvin","",Male,1937-01-01,"Houston, Texas",,,,,http://vocab.getty.edu/ulan/500108626,
2119,Tanaka Ryôhei,,,Person,,,Tanaka Ryôhei,"",Unknown,,,,,,,"",
1000395,Baron,,,Person,,,Baron,"Nahum, Stirling Henry|Nahum, Sterling Henry",Male,1906-01-01,England,1956-01-01,,,http://www.npg.org.uk/collections/search/person/mp60452/baron-sterling-henry-nahum?role=art,"",
3440,Alice Boughton,,,Person,,,"Boughton, Alice","",Female,1865-01-01,"Brooklyn, New York, USA",1943-01-01,,,,,
1000237,Mordecai Ardon,,,Person,,,"Ardon, Mordecai","Ardon-Bronstein, Mordecai",Male,1896-01-01,"Tuchów (Malopolskie voivodship, Poland)",1992-01-01,"Jerusalem (Yerushalayim district, Israel)",,,http://vocab.getty.edu/ulan/500030956,
1002400,unknown Greco-Persian,,,Person,,,unknown Greco-Persian,"",Unknown,-0349-01-01,,-0200-01-01,,,,,
6687,"unknown French, Dieppe",,,Person,,,"unknown French, Dieppe","French, Dieppe",Unknown,,,,,,,"",
2179,"unknown French, Soissons",,,Person,,,"unknown French, Soissons","French, possibly Soissons",Unknown,,,,,,,"",
7468,"unknown American, New York or Boston",,,Person,,,"unknown American, New York or Boston","",Unknown,,,,,,,,
8531,unknown Scandinavian,,,Person,,,unknown Scandinavian,anonymous Scandinavian|Scandinavian,Unknown,,,,,,,http://vocab.getty.edu/ulan/500125266,
588,Okada Gunkyokudo (Kawachiya Mohei),,,Person,,,Okada Gunkyokudo (Kawachiya Mohei),"",Unknown,,,,,,,,
591,Shibukawa (Seiemon),,,Person,,,Shibukawa (Seiemon),"",Female,,,,,,,"",
3153,Fugaku Shuppansha,,,Person,,,Fugaku Shuppansha,"",Male,,,,,,,"",
7951,Yamadaya Shojiro,,,Person,,,Yamadaya Shojiro,"",Male,,,,,,,"",
8113,Dương Áhn,,,Person,,,"Áhn, Dương","",Unknown,,,,,,,,
8114,Huỳnh Phương Ðông,,,Person,,,"Ðông, Huỳnh Phương","",Unknown,,,,,,,,
